Data,Título,Empresa,Link,Classificação PMP,Ranking Salarial
2026-05-06,"Affirm: Staff Product Manager, Capital",Não especificado,https://weworkremotely.com/remote-jobs/affirm-staff-product-manager-capital,PMP desejável,€€€€
2026-05-06,Octus: Product Specialist,Não especificado,https://weworkremotely.com/remote-jobs/octus-product-specialist,PMP desejável,€€€€
2026-05-06,xAI: Finance Expert - Portfolio Management,Não especificado,https://weworkremotely.com/remote-jobs/xai-finance-expert-portfolio-management,PMP desejável,€€€€
2026-05-06,Red Ventures: Director of Product Management | Bankrate,Não especificado,https://weworkremotely.com/remote-jobs/red-ventures-director-of-product-management-bankrate,PMP desejável,€€€€
2026-05-06,Crypto.Com: Product Marketing Manager (Exchange Product),Não especificado,https://weworkremotely.com/remote-jobs/crypto-com-product-marketing-manager-exchange-product,PMP desejável,€€€€
2026-05-06,"Affirm: Senior Product Manager, Financial Reporting",Não especificado,https://weworkremotely.com/remote-jobs/affirm-senior-product-manager-financial-reporting,PMP desejável,€€€€
2026-05-06,Elite Software Automation: Business Analyst,Não especificado,https://weworkremotely.com/remote-jobs/elite-software-automation-business-analyst-2,PMP desejável,€€€€
2026-05-06,Spiralyze: Project Manager,Não especificado,https://weworkremotely.com/remote-jobs/spiralyze-project-manager,PMP desejável,€€€€
2026-05-06,New Law Business Model: Marketing Automation SaaS + Services Line of Business Owner,Não especificado,https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner,PMP desejável,€€€€
