Data,Título,Empresa,Link,Classificação PMP,Ranking Salarial
2026-07-13,Spiralyze: Project Manager,Não especificado,https://weworkremotely.com/remote-jobs/spiralyze-project-manager-1,PMP desejável,€€€€
2026-07-13,Impact Clients: Client Success Coach (CSM),Não especificado,https://weworkremotely.com/remote-jobs/impact-clients-client-success-coach-csm-1,PMP desejável,€€€€
2026-07-13,Hybrid85: Operations Manager,Não especificado,https://weworkremotely.com/remote-jobs/hybrid85-operations-manager,PMP desejável,€€€€
2026-07-13,Collaborative Solutions: Workday Financials Analyst Consultant (Global Delivery Center),Não especificado,https://weworkremotely.com/remote-jobs/collaborative-solutions-workday-financials-analyst-consultant-global-delivery-center,PMP desejável,€€€€
2026-07-13,FIS Capital Markets: Account Manager II,Não especificado,https://weworkremotely.com/remote-jobs/fis-capital-markets-account-manager-ii,PMP desejável,€€€€
2026-07-13,"Snap Finance: Manager, Credit Card Business Strategy (Remote)",Não especificado,https://weworkremotely.com/remote-jobs/snap-finance-manager-credit-card-business-strategy-remote,PMP desejável,€€€€
2026-07-13,EY Studio+ Nederland: Oracle Services - Oracle Cloud Finance - Manager - Tech Cons - Open Location,Não especificado,https://weworkremotely.com/remote-jobs/ey-studio-nederland-oracle-services-oracle-cloud-finance-manager-tech-cons,PMP desejável,€€€€
2026-07-13,"NFP: Commercial Lines (w Eldercare Facilities), Account Executive/Sr. (East Coast remote)",Não especificado,https://weworkremotely.com/remote-jobs/nfp-commercial-lines-w-eldercare-facilities-account-executive-sr-east-coast-remote,PMP desejável,€€€€
2026-07-13,Elite Software Automation: Business Analyst,Não especificado,https://weworkremotely.com/remote-jobs/elite-software-automation-business-analyst-2,PMP desejável,€€€€
2026-07-13,New Law Business Model: Marketing Automation SaaS + Services Line of Business Owner,Não especificado,https://weworkremotely.com/remote-jobs/new-law-business-model-marketing-automation-saas-services-line-of-business-owner,PMP desejável,€€€€
